,ServiceTag,UUID,SerialNumber,HostName,Model,Manufacturer,ProcessorModel,ProcessorCount,LogicalProcessorCount,TotalSystemMemoryGiB,NIC_1_PermanentMACAddress,NIC_2_PermanentMACAddress,Bmc_Ip_Addr,BmcModel,BmcFirmwareVersion,Status
398,,4c4c4544-004e-4b10-8052-b7c04f514432,CN7475165K0579,cpu-9-12,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:BA:5D:C4,7C:D3:0A:BA:5D:C6,10.101.9.12,13G DCS,2.75.75.75,OK
399,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10.101.9.13,N/A,N/A,BMC Unreachable
400,,4c4c4544-004d-5010-8051-b7c04f514432,CN7475165K0021,cpu-9-14,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:BA:62:86,7C:D3:0A:BA:62:88,10.101.9.14,13G DCS,2.75.75.75,OK
401,,4c4c4544-004d-5010-804e-b7c04f514432,CN7475165K0884,cpu-9-15,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:BA:6B:2C,7C:D3:0A:BA:6B:2E,10.101.9.15,13G DCS,2.75.75.75,OK
402,,4c4c4544-004d-4e10-8054-b7c04f514432,CN7475165L0036,cpu-9-16,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:BA:6B:F8,7C:D3:0A:BA:6B:FA,10.101.9.16,13G DCS,2.75.75.75,OK
403,,4c4c4544-004e-4c10-8052-b7c04f514432,CN7475165K0653,cpu-9-17,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:BA:54:28,7C:D3:0A:BA:54:2A,10.101.9.17,13G DCS,2.75.75.75,OK
404,,4c4c4544-004e-4c10-8050-b7c04f514432,CN7475165K0303,cpu-9-18,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:BA:58:F6,7C:D3:0A:BA:58:F8,10.101.9.18,13G DCS,2.75.75.75,OK
405,,4c4c4544-004e-4c10-8051-b7c04f514432,CN7475165K0069,cpu-9-19,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:BA:5D:A0,7C:D3:0A:BA:5D:A2,10.101.9.19,13G DCS,2.75.75.75,OK
406,,4c4c4544-004d-5010-8050-b7c04f514432,CN7475165K0222,cpu-9-20,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:BA:62:0E,N/A,10.101.9.20,13G DCS,2.75.75.75,OK
407,,4c4c4544-004e-4310-8053-b7c04f514432,CN747516560354,cpu-9-21,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:B9:3F:58,7C:D3:0A:B9:3F:5A,10.101.9.21,13G DCS,2.75.75.75,OK
408,,4c4c4544-004e-4310-8052-b7c04f514432,CN7475165O0909,cpu-9-22,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:BA:75:40,7C:D3:0A:BA:75:42,10.101.9.22,13G DCS,2.75.75.75,OK
409,,4c4c4544-004e-4410-804e-b7c04f514432,CN7475165O0913,cpu-9-23,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:BA:75:3A,7C:D3:0A:BA:75:3C,10.101.9.23,13G DCS,2.75.75.75,OK
410,,4c4c4544-004e-4310-8054-b7c04f514432,CN747516550960,cpu-9-24,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:B8:51:8A,7C:D3:0A:B8:51:8C,10.101.9.24,13G DCS,2.75.75.75,OK
411,,4c4c4544-004d-3410-8053-b7c04f514432,CN7475165K0189,cpu-9-25,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:BA:64:54,7C:D3:0A:BA:64:56,10.101.9.25,13G DCS,2.75.75.75,OK
