 Partition        NodeList     Group      User    JobName        JobID              Submit               Start                 End ExitCode CPUTimeRAW TRESUsageInTot TRESUsageOutTot  MaxVMSize  AllocCPUS   NTasks    Cluster TimelimitR     ReqMem 
---------- --------------- --------- --------- ---------- ------------ ------------------- ------------------- ------------------- -------- ---------- -------------- --------------- ---------- ---------- -------- ---------- ---------- ---------- 
   matador        gpu-21-7      chem    rliang      job16 8236         2020-10-31T11:11:46 2020-10-31T11:11:47 2020-11-02T06:12:11      0:0     158424                                                    1           redraider       2640     9639Mc 
                  gpu-21-7                          batch 8236.batch   2020-10-31T11:11:47 2020-10-31T11:11:47 2020-11-02T06:12:12     0:15     158425 cpu=00:00:00,+ energy=0,fs/di+    143524K          1        1  redraider                9639Mc 
                  gpu-21-7                         extern 8236.extern  2020-10-31T11:11:47 2020-10-31T11:11:47 2020-11-02T06:12:11      0:0     158424 cpu=00:00:00,+ energy=0,fs/di+      4352K          1        1  redraider                9639Mc 
                  gpu-21-7                         run.sh 8236.0       2020-10-31T11:11:47 2020-10-31T11:11:47 2020-11-02T06:12:44     0:15     158457 cpu=1-19:48:0+ energy=0,fs/di+    146436K          1        1  redraider                9639Mc 
   matador        gpu-21-8      chem    rliang      job17 8237         2020-10-31T11:11:46 2020-10-31T11:11:47 2020-11-02T06:12:11      0:0     158424                                                    1           redraider       2640     9639Mc 
                  gpu-21-8                          batch 8237.batch   2020-10-31T11:11:47 2020-10-31T11:11:47 2020-11-02T06:12:12     0:15     158425 cpu=00:00:00,+ energy=0,fs/di+    143524K          1        1  redraider                9639Mc 
                  gpu-21-8                         extern 8237.extern  2020-10-31T11:11:47 2020-10-31T11:11:47 2020-11-02T06:12:11      0:0     158424 cpu=00:00:00,+ energy=0,fs/di+    143220K          1        1  redraider                9639Mc 
                  gpu-21-8                         run.sh 8237.0       2020-10-31T11:11:47 2020-10-31T11:11:47 2020-11-02T06:12:44     0:15     158457 cpu=1-19:47:5+ energy=0,fs/di+    146436K          1        1  redraider                9639Mc 
   matador        gpu-21-9      chem    rliang      job18 8238         2020-10-31T11:11:46 2020-10-31T11:11:47 2020-11-02T06:12:11      0:0     158424                                                    1           redraider       2640     9639Mc 
                  gpu-21-9                          batch 8238.batch   2020-10-31T11:11:47 2020-10-31T11:11:47 2020-11-02T06:12:13     0:15     158426 cpu=00:00:00,+ energy=0,fs/di+    143524K          1        1  redraider                9639Mc 
                  gpu-21-9                         extern 8238.extern  2020-10-31T11:11:47 2020-10-31T11:11:47 2020-11-02T06:12:11      0:0     158424 cpu=00:00:00,+ energy=0,fs/di+    143220K          1        1  redraider                9639Mc 
                  gpu-21-9                         run.sh 8238.0       2020-10-31T11:11:47 2020-10-31T11:11:47 2020-11-02T06:12:44     0:15     158457 cpu=1-19:47:5+ energy=0,fs/di+    146436K          1        1  redraider                9639Mc 
   matador       gpu-21-10      chem    rliang      job19 8239         2020-10-31T11:11:46 2020-10-31T11:11:47 2020-11-02T06:12:11      0:0     158424                                                    1           redraider       2640     9639Mc 
                 gpu-21-10                          batch 8239.batch   2020-10-31T11:11:47 2020-10-31T11:11:47 2020-11-02T06:12:12     0:15     158425 cpu=00:00:00,+ energy=0,fs/di+    143524K          1        1  redraider                9639Mc 
                 gpu-21-10                         extern 8239.extern  2020-10-31T11:11:47 2020-10-31T11:11:47 2020-11-02T06:12:11      0:0     158424 cpu=00:00:00,+ energy=0,fs/di+    143220K          1        1  redraider                9639Mc 
                 gpu-21-10                         run.sh 8239.0       2020-10-31T11:11:47 2020-10-31T11:11:47 2020-11-02T06:12:44     0:15     158457 cpu=1-19:47:4+ energy=0,fs/di+    146436K          1        1  redraider                9639Mc 
   matador        gpu-20-1      chem    rliang      job20 8240         2020-10-31T11:11:46 2020-10-31T11:11:47 2020-11-02T06:12:11      0:0     158424                                                    1           redraider       2640     9639Mc 
                  gpu-20-1                          batch 8240.batch   2020-10-31T11:11:47 2020-10-31T11:11:47 2020-11-02T06:12:13     0:15     158426 cpu=00:00:00,+ energy=0,fs/di+    143536K          1        1  redraider                9639Mc 
                  gpu-20-1                         extern 8240.extern  2020-10-31T11:11:47 2020-10-31T11:11:47 2020-11-02T06:12:11      0:0     158424 cpu=00:00:00,+ energy=0,fs/di+    143220K          1        1  redraider                9639Mc 
                  gpu-20-1                         run.sh 8240.0       2020-10-31T11:11:47 2020-10-31T11:11:47 2020-11-02T06:12:44     0:15     158457 cpu=1-19:48:1+ energy=0,fs/di+    146436K          1        1  redraider                9639Mc 
   matador        gpu-20-2      chem    rliang      job21 8241         2020-10-31T11:11:46 2020-10-31T11:11:47 2020-11-02T06:12:11      0:0     158424                                                    1           redraider       2640     9639Mc 
                  gpu-20-2                          batch 8241.batch   2020-10-31T11:11:47 2020-10-31T11:11:47 2020-11-02T06:12:12     0:15     158425 cpu=00:00:00,+ energy=0,fs/di+    143536K          1        1  redraider                9639Mc 
                  gpu-20-2                         extern 8241.extern  2020-10-31T11:11:47 2020-10-31T11:11:47 2020-11-02T06:12:11      0:0     158424 cpu=00:00:00,+ energy=0,fs/di+    143220K          1        1  redraider                9639Mc 
                  gpu-20-2                         run.sh 8241.0       2020-10-31T11:11:47 2020-10-31T11:11:47 2020-11-02T06:12:44     0:15     158457 cpu=1-19:48:5+ energy=0,fs/di+    146436K          1        1  redraider                9639Mc 
